Signature	HR.TDXd	HR.cl.TDXd	HR.cu.TDXd	median.PFS.0	median.PFS.1	n.0.TDXd	n.1.TDXd
HALLMARK_MITOTIC_SPINDLE	1.11439555748943	0.823792022184194	1.50751333480928	9.8 (8.12-12.3)	10.06 (8.52-12.46)	132	128
HALLMARK_E2F_TARGETS	0.816927697616303	0.604144100239545	1.10465510276118	9.99 (8.05-12.3)	9.83 (8.32-12.3)	129	131
HALLMARK_MYC_TARGETS_V1	1.16571470992194	0.86172952318932	1.57693423326038	9.96 (8.32-11.41)	10.06 (8.12-12.46)	132	128
HALLMARK_G2M_CHECKPOINT	1.07440981711321	0.794751142299576	1.45247536451367	9.53 (7.13-10.95)	11.41 (9.67-14.66)	131	129
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.02889992715044	0.76101125014929	1.39108989503442	10.32 (8.52-12.3)	9.67 (7.53-12.33)	121	139
HALLMARK_MTORC1_SIGNALING	0.750185782336461	0.554857527085422	1.01427606285879	9.67 (7.53-10.95)	11.41 (9.47-15.12)	132	128
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.39157990460072	1.02344118719476	1.89214060868164	11.08 (9.57-15.12)	9.53 (7.53-10.98)	134	126
HALLMARK_DNA_REPAIR	1.0702485432946	0.791654563249586	1.4468835242008	10.29 (8.19-11.74)	9.96 (8.15-13.61)	128	132
HALLMARK_HEME_METABOLISM	1.01011572008347	0.747351106603064	1.36526695276799	11.34 (9.7-15.16)	8.45 (6.94-10.55)	131	129
HALLMARK_UV_RESPONSE_UP	1.51884542961587	1.11482421209065	2.06928717016189	12.33 (9.76-15.25)	8.38 (6.9-10.32)	131	129
HALLMARK_XENOBIOTIC_METABOLISM	1.08378236429487	0.801499591487003	1.46548323371869	9.57 (7.33-11.08)	10.88 (9.53-13.61)	125	135
HALLMARK_SPERMATOGENESIS	0.937024244813437	0.693176299039862	1.26665386076292	12.99 (9.83-18.21)	8.65 (7.13-9.99)	134	126
HALLMARK_COAGULATION	1.01184875194833	0.746051275249012	1.37234253299502	9.8 (8.45-12)	10.06 (7.66-12.33)	128	132
HALLMARK_ESTROGEN_RESPONSE_LATE	0.884916824291154	0.654716662075656	1.196055990741	10.32 (9.5-12.59)	9.7 (8.05-12.23)	135	125
HALLMARK_ESTROGEN_RESPONSE_EARLY	1.37470653365144	1.01200422247038	1.86740135238839	9.57 (7.99-11.74)	10.88 (9.53-12.99)	128	132
HALLMARK_KRAS_SIGNALING_DN	0.799616428969002	0.591362288485528	1.08120934649824	10.32 (8.38-12.3)	9.96 (8.12-12.33)	131	129
HALLMARK_PANCREAS_BETA_CELLS	0.799369001748721	0.591070887609751	1.08107303937905	10.03 (9.57-12)	9.53 (7.1-12.33)	130	130
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.942427914922874	0.697553045077625	1.27326571232592	9.57 (7.66-10.85)	12 (9.53-13.78)	131	129
HALLMARK_ANDROGEN_RESPONSE	1.10471236576732	0.817349193926867	1.49310652062432	11.08 (9.57-12.99)	9.53 (7.2-10.88)	131	129
HALLMARK_ADIPOGENESIS	0.868297321769433	0.642579511883418	1.17330264200636	10.88 (8.45-12.33)	9.73 (7.66-12.3)	127	133
HALLMARK_BILE_ACID_METABOLISM	1.09553861705438	0.808168087530563	1.48509311364268	11.08 (9.57-15.12)	9.53 (7.53-11.41)	125	135
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.05026316571833	0.77730467890222	1.41907381648919	10.98 (9.67-15.12)	8.45 (6.97-11.41)	135	125
HALLMARK_MYC_TARGETS_V2	0.897848732716946	0.663761715106595	1.21449057469663	10.85 (9.53-13.78)	9.57 (7.33-11.74)	123	137
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.849685656365902	0.628002386335748	1.14962256568237	9.76 (8.12-11.34)	10.88 (8.52-13.32)	131	129
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.35181445550853	0.995122215406993	1.83635968912063	9.99 (8.52-12.3)	9.96 (7.53-12.46)	129	131
HALLMARK_APICAL_SURFACE	0.840997927765142	0.621281591194423	1.13841698278153	9.57 (7.13-10.98)	11.08 (9.53-13.61)	133	127
HALLMARK_COMPLEMENT	1.10395485043099	0.816783747161288	1.49209177585344	10.32 (8.19-12.3)	9.96 (8.12-12.33)	125	135
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.56727375196195	1.15259277722339	2.1311490598668	9.57 (8.05-10.98)	11.08 (9.5-15.12)	122	138
HALLMARK_FATTY_ACID_METABOLISM	0.990541940800504	0.732567984937927	1.33936147450938	9.76 (8.38-12)	10.06 (8.12-12.46)	131	129
HALLMARK_APICAL_JUNCTION	0.979410355116186	0.724857237502908	1.32335664745979	10.29 (8.48-12.3)	9.96 (7.53-12.33)	131	129
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.59080060032602	1.16875250310247	2.16525444290386	10.32 (8.15-12.3)	9.96 (8.19-12.33)	131	129
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.925040443501247	0.684142075106496	1.25076333301059	10.55 (8.38-12)	9.96 (7.13-14.66)	131	129
HALLMARK_MYOGENESIS	0.988404313631327	0.731485232842845	1.33556091543806	9.76 (7.13-10.95)	11.41 (8.65-15.16)	121	139
HALLMARK_APOPTOSIS	0.953030898553636	0.705188056768958	1.28797968836776	11.08 (9.57-15.12)	9.53 (7.13-11.74)	122	138
HALLMARK_PEROXISOME	1.27441629938118	0.941576420317666	1.72491246497069	10.55 (8.19-12)	9.76 (8.15-12.46)	128	132
HALLMARK_P53_PATHWAY	1.16267683363088	0.859198315589418	1.57334738084836	9.8 (8.05-11.74)	10.06 (8.32-12.46)	128	132
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.35634008030823	1.00221994219186	1.83558352413862	9.96 (8.32-12)	10.06 (7.66-13.61)	127	133
